Photon Energy,Absorption
4.74,-18.79
4.75,-18.69
4.75,-18.59
4.75,-18.49
4.75,-18.39
4.76,-18.29
4.76,-18.20
4.76,-18.10
4.76,-18.00
4.77,-17.91
4.77,-17.82
4.77,-17.73
4.77,-17.63
4.78,-17.54
4.78,-17.46
4.78,-17.37
4.78,-17.28
4.79,-17.20
4.79,-17.11
4.79,-17.03
4.79,-16.95
4.80,-16.87
4.80,-16.79
4.80,-16.72
4.80,-16.64
4.81,-16.57
4.81,-16.50
4.81,-16.43
4.81,-16.36
4.82,-16.29
4.82,-16.23
4.82,-16.17
4.82,-16.10
4.83,-16.04
4.83,-15.99
4.83,-15.93
4.83,-15.87
4.84,-15.82
4.84,-15.77
4.84,-15.72
4.84,-15.67
4.85,-15.63
4.85,-15.59
4.85,-15.54
4.85,-15.50
4.86,-15.47
4.86,-15.43
4.86,-15.40
4.86,-15.36
4.87,-15.33
4.87,-15.31
4.87,-15.28
4.87,-15.25
4.88,-15.23
4.88,-15.21
4.88,-15.19
4.88,-15.17
4.89,-15.16
4.89,-15.14
4.89,-15.13
4.89,-15.12
4.90,-15.11
4.90,-15.11
4.90,-15.10
4.90,-15.10
4.91,-15.09
4.91,-15.09
4.91,-15.10
4.91,-15.10
4.92,-15.10
4.92,-15.11
4.92,-15.12
4.92,-15.12
4.93,-15.13
4.93,-15.15
4.93,-15.16
4.93,-15.17
4.94,-15.19
4.94,-15.21
